Id,SalePrice
1461,109428.2235
1462,162808.5306
1463,162199.951
1464,180379.4229
1465,221897.2895
1466,177805.1203
1467,176266.7724
1468,164895.4325
1469,186630.7749
1470,103967.7809
1471,147531.3164
1472,91861.92892
1473,98144.23863
1474,143491.9667
1475,137034.0627
1476,411269.4583
1477,292190.533
1478,317133.5739
1479,286598.4004
1480,457479.6421
1481,295928.9016
1482,221012.3273
1483,177119.1598
1484,161081.1483
1485,181197.4067
1486,200591.746
1487,313120.1557
1488,255106.8767
1489,194588.1675
1490,208092.4606
1491,189823.1912
1492,113904.0187
1493,179791.6922
1494,300468.7151
1495,288018.091
1496,208303.064
1497,183401.3977
1498,169277.9575
1499,155273.2299
1500,151984.3718
1501,161444.9995
1502,148241.1879
1503,249229.4245
1504,249067.074
1505,221918.8533
1506,211655.3108
1507,217056.9675
1508,165805.2962
1509,165342.636
1510,139221.424
1511,191563.3399
1512,167126.5584
1513,155997.6471
1514,152393.0285
1515,185719.7938
1516,147760.4545
1517,159476.955
1518,130514.0254
1519,181952.1015
1520,132221.2859
1521,137176.4398
1522,179791.0033
1523,112673.5062
1524,137721.0896
1525,124811.1171
1526,111385.7917
1527,109477.596
1528,135802.1963
1529,140777.7241
1530,174536.0009
1531,160643.2097
1532,100118.2312
1533,146211.7303
1534,145702.4889
1535,130624.6816
1536,105585.0676
1537,432367.0695
1538,176849.9181
1539,233644.7886
1540,97868.03446
1541,130110.3722
1542,139682.0355
1543,191678.2531
1544,97928.25356
1545,128742.1249
1546,127098.945
1547,131746.0754
1548,146628.3333
1549,116806.4184
1550,129849.2118
1551,102325.3911
1552,133524.3811
1553,137747.2344
1554,126314.9601
1555,210378.1238
1556,97003.59023
1557,108644.627
1558,100464.4409
1559,114066.2761
1560,152320.5454
1561,103889.5891
1562,126041.9057
1563,112126.2057
1564,128184.9456
1565,132868.4468
1566,230326.9585
1567,74103.98777
1568,215459.973
1569,103289.2445
1570,144680.0403
1571,129045.3363
1572,145802.166
1573,157862.1362
1574,80738.84641
1575,193366.1195
1576,195565.8609
1577,173168.5781
1578,166588.7687
1579,147592.5437
1580,197155.7623
1581,159165.1551
1582,138416.1983
1583,282054.9129
1584,234616.7482
1585,135371.6861
1586,93877.09327
1587,183581.8471
1588,142015.9689
1589,100240.2814
1590,143784.7974
1591,110116.6113
1592,127291.6176
1593,106318.4212
1594,146891.166
1595,101780.4082
1596,238959.5534
1597,174561.718
1598,214308.7031
1599,155570.283
1600,164109.277
1601,211569.8318
1602,93282.42122
1603,63795.27649
1604,223880.0366
1605,232870.4355
1606,174582.9612
1607,138581.1215
1608,200021.4139
1609,192252.6616
1610,164857.9746
1611,157288.153
1612,170344.5903
1613,163580.4119
1614,123416.8748
1615,103662.5647
1616,80555.02251
1617,97988.6899
1618,138455.3813
1619,135102.0174
1620,129632.7383
1621,137459.3818
1622,140542.9213
1623,254716.8028
1624,182194.4691
1625,115769.6443
1626,166399.7161
1627,174611.6712
1628,274979.2106
1629,199686.9715
1630,337225.5219
1631,240282.9497
1632,264054.3084
1633,181779.7552
1634,176514.1515
1635,168360.6645
1636,164828.5265
1637,184977.2198
1638,218057.8138
1639,197163.37
1640,281214.9255
1641,194425.7965
1642,232289.7361
1643,251677.6887
1644,245351.9684
1645,184517.1503
1646,146258.1347
1647,151633.7222
1648,132502.7216
1649,136619.9443
1650,108492.9377
1651,114166.8125
1652,101366.2006
1653,107405.7353
1654,140605.9746
1655,149547.5619
1656,137452.4321
1657,140605.9746
1658,137452.4321
1659,137034.0627
1660,142125.6709
1661,411936.4364
1662,452868.7358
1663,362415.5719
1664,509396.5934
1665,322477.4122
1666,281631.0533
1667,323039.1314
1668,378228.7001
1669,293648.811
1670,332602.5794
1671,259516.3149
1672,423166.5753
1673,310990.1404
1674,259774.7259
1675,195421.7135
1676,192281.2081
1677,203787.5552
1678,476993.0305
1679,333539.8308
1680,368247.3814
1681,270952.6057
1682,272938.1958
1683,207769.2565
1684,175033.3886
1685,166594.0757
1686,167434.927
1687,181197.4067
1688,191088.0968
1689,187766.4331
1690,178078.2471
1691,164514.7867
1692,246965.3064
1693,181197.4067
1694,168224.7731
1695,185273.8462
1696,254015.1716
1697,191313.3808
1698,334406.7065
1699,311126.0627
1700,249718.3531
1701,288720.9488
1702,267649.4282
1703,262930.4484
1704,268394.5303
1705,234864.9371
1706,425208.5849
1707,219885.7285
1708,211474.9061
1709,287010.476
1710,233655.997
1711,243745.4363
1712,301138.202
1713,241646.3092
1714,228997.5287
1715,210975.7269
1716,174456.2247
1717,159481.313
1718,157952.7595
1719,203940.2622
1720,219897.6062
1721,156348.1288
1722,146808.4213
1723,146808.4213
1724,197762.9764
1725,232543.4781
1726,184999.8939
1727,165647.6069
1728,178843.2471
1729,168251.6795
1730,181268.6485
1731,121249.9811
1732,118165.7403
1733,112126.2057
1734,182007.2491
1735,130892.067
1736,121941.0957
1737,324334.1207
1738,236474.717
1739,261046.8611
1740,213237.5819
1741,182763.7836
1742,161444.9995
1743,170040.518
1744,292178.838
1745,256097.3858
1746,311653.3006
1747,219626.3772
1748,238622.507
1749,150387.5685
1750,149390.7145
1751,245691.5768
1752,116316.5676
1753,163020.1774
1754,194900.0554
1755,162653.8587
